task,round,coverage,assertions,mutation_score,orchestrator_rate,bugs_saved
l1-1-string-utils,1,1.0,3,0.0,80.0,0
l1-2-list-utils,1,1.0,4,0.0,80.0,0
l2-1-cache,1,0.25,4,0.0,80.0,0
l2-2-csv-processor,1,0.4,2,0.0,80.0,0
l3-1-task-queue,1,0.714,2,0.0,80.0,0
l3-2-session-manager,1,0.364,3,0.0,80.0,0
l1-1-string-utils,2,1.0,8,0.0,80.0,2
l1-2-list-utils,2,1.0,8,0.0,80.0,2
l2-1-cache,2,0.75,8,0.0,80.0,2
l2-2-csv-processor,2,0.4,5,0.0,80.0,2
l3-1-task-queue,2,0.714,5,0.0,80.0,2
l3-2-session-manager,2,0.545,8,0.0,80.0,2
v7-api-paginator,2,1.0,12,0.0,80.0,2
v7-data-validator,2,1.0,10,0.0,80.0,2
l1-1-string-utils,3,1.0,9,0.0,80.0,3
l1-2-list-utils,3,1.0,9,0.0,80.0,3
l2-1-cache,3,0.75,9,0.0,80.0,3
l2-2-csv-processor,3,0.6,6,0.0,80.0,3
l3-1-task-queue,3,0.714,6,0.0,80.0,3
l3-2-session-manager,3,0.545,9,0.0,80.0,3
v7-api-paginator,3,1.0,13,0.0,80.0,2
v7-data-validator,3,1.0,11,0.0,80.0,2
